RegionName,StateName,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020
"Greensboro, NC",NC,209000,199500,195800,195000,210000,220000,234000,244000,239900,250000,263900,259900,255000,250000,249000,253800,259900,269900,282000,289900,279000,275000,269900,269900,265000,264000,263500,259900,260000,269000,260000,281359,295500
"Akron, OH",OH,149900,149900,148800,139900,144000,150000,159500,169650,174900,174900,169000,164500,159900,154900,149900,149900,155000,162500,165000,175000,179900,179000,174900,168900,164900,159000,149999,149900,157900,164900,169900,179900,186000
"North Port-Sarasota-Bradenton, FL",FL,354000,355000,359000,359000,359900,359990,359000,365000,369000,369900,362500,354900,355000,350000,350000,359000,359000,365000,375000,375000,379199,375000,369900,365900,372516,375000,375000,374900,374990,374182,359990,360000,369900
"Little Rock, AR",AR,179900,179900,183900,184900,187593,189900,192000,194500,194000,190000,189900,189900,191500,189900,189900,189700,190000,198000,200000,214900,215000,215000,215000,209900,210000,207000,205900,206000,210000,219000,219900,225000,224900
"Stockton, CA",CA,379500,378900,379900,385000,384500,375000,390000,388888,395000,395000,385000,385000,385000,379000,380000,375000,375000,389000,415000,424000,429000,440000,442700,435000,434900,439999,439500,429900,435000,439900,435590,439900,459900
"Charleston, SC",SC,399900,399000,399000,398000,400000,409900,415000,424500,419900,417500,409000,399900,399000,394500,389900,395000,405000,419000,425000,425000,425000,415000,400000,399900,399000,399000,395000,398750,400275,419500,410000,429000,435000
"Syracuse, NY",NY,158000,154900,154500,151000,159850,165000,169900,169900,170000,174000,174000,170000,169900,169900,169000,169900,174900,179900,189900,194900,198450,194900,189500,189500,185000,185000,186900,187777,194900,199900,209900,218000,224900
"Colorado Springs, CO",CO,435000,425000,435000,430000,424900,429900,422745,415000,394815,379900,374000,369500,369900,369000,369900,385000,397500,400000,400000,414900,420000,430000,421000,419900,424900,425000,425000,425000,425000,435000,439000,440000,449000
"Winston-Salem, NC",NC,200000,209900,209899,209900,214900,215000,219900,219900,225000,245000,250000,249900,249000,245000,245000,249500,257900,265900,279000,288500,285940,286700,284500,284900,285000,278550,275000,275000,291900,292900,285000,300000,313527
"Wichita, KS",KS,175000,175000,174900,179900,193000,199900,209900,209900,205000,204450,199900,197500,196650,187400,187500,195000,199900,211130,220000,225045,227500,219500,217310,215000,215000,209500,199900,199350,205000,224900,229900,249900,268000
