RegionName,StateName,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020
"Austin, TX",TX,389000,389000,385000,384900,394990,398900,399990,399500,399000,390000,380000,379000,375000,369950,365000,366950,375000,388000,396000,395000,380000,368733,367500,360000,357741,359900,350000,358911,370462,383427,383961,399000,416000
"Virginia Beach, VA",VA,270000,269000,266000,265900,268800,274900,279900,284900,286400,287000,285000,285000,279900,279500,279000,282000,289000,295000,299900,299900,299900,299900,299900,299000,299000,299900,299900,299900,299999,309900,314900,320000,328000
"Nashville, TN",TN,375000,374900,374700,372900,379000,379900,379999,379000,374900,369000,359900,361123,359500,354900,354900,355000,354900,359900,364999,368900,369900,361526,359900,359000,357000,350000,350000,349900,350945,359900,359900,368900,375000
"Providence, RI",RI,334900,329900,329000,329900,334900,340000,349000,349900,349900,350000,349900,349900,344900,339000,335000,339900,349000,358000,365000,369900,369900,369900,369900,369000,364900,359900,349900,350000,369000,379000,379900,389900,399900
"Milwaukee, WI",WI,234900,229900,224900,224900,234900,250000,259900,269900,275000,271650,265000,259900,254900,250000,250000,264900,274900,289000,289900,289900,294900,299000,294900,282500,275000,269900,264900,274800,287450,299900,309000,315000,314900
"Jacksonville, FL",FL,299000,299000,299900,305000,310000,315000,319000,316990,315000,309000,299999,299500,295000,294990,299000,296529,299000,307000,310000,320000,312990,300990,300000,299000,299900,299000,298500,300000,309990,312990,304990,315000,319000
"Memphis, TN",TN,209500,201850,192750,189900,189000,189900,199000,199900,210500,215000,215000,218800,219000,215000,209900,209900,210000,217000,224900,235000,234900,234900,231886,231130,231886,234000,231225,229000,229900,240000,241758,250000,259900
"Oklahoma City, OK",OK,230000,229000,229900,229900,235000,244300,245000,248900,246825,245000,240000,240000,240000,241150,239900,247660,254900,264900,271900,273000,269000,266900,259900,259900,261096,260000,259999,265000,273000,276900,275900,285184,297000
"Louisville-Jefferson County, KY",KY,237500,230000,228500,235000,254900,269000,274817,279000,276900,269500,269000,265000,260300,256900,250000,252900,265000,275000,289000,290900,289500,285000,278371,269900,259900,249950,245000,249000,262500,279990,289840,299500,299000
"Hartford, CT",CT,269500,265000,265000,269900,275000,289900,289900,289900,289900,289900,289000,284900,284900,279900,279900,279900,285000,289900,299900,299900,306000,299900,299000,295000,290000,289900,289000,285000,289900,307000,309900,324900,330000
"Richmond, VA",VA,297977,294900,286620,284990,297500,309800,319000,319950,318900,319900,313600,305000,300000,299950,299900,299900,305056,325000,335000,339900,339000,337000,327000,321000,315300,314900,319900,324420,329950,339950,349500,359000,369900
"New Orleans, LA",LA,255900,249999,247000,240000,240000,249900,259000,262500,265000,263000,259900,257500,254900,250000,250000,249999,255800,264500,269900,274900,272500,269900,269000,269000,267950,266150,264900,260000,264500,270000,275000,284400,289000
