"CTYNAME","pop2021","GrowthRate"
"Martin County","5951","23.7471"
"Carson County","5764","-6.4589"
"Crosby County","5683","-5.6920"
"Haskell County","5576","-5.1539"
"Floyd County","5570","-13.0095"
"Hartley County","5506","-9.2018"
"Delta County","5329","1.6597"
"Hansford County","5257","-6.1082"
"Jim Hogg County","5216","-1.3429"
"Hudspeth County","5082","46.3710"
"Crane County","4881","11.3875"
"Mills County","4853","-2.3148"
"Wheeler County","4852","-9.9313"
"Kimble County","4335","-5.7814"
"Mason County","4304","7.3317"
"Reagan County","4075","21.5330"
"Hardeman County","3941","-5.2416"
"Fisher County","3848","-2.8037"
"Sutton County","3824","-5.8592"
"Hemphill County","3767","-0.7378"
"Upton County","3697","10.7549"
"Knox County","3668","-1.4773"
"Kinney County","3617","0.7521"
"Crockett County","3514","-5.0527"
"Coke County","3451","3.9771"
"Real County","3402","2.4082"
"Baylor County","3381","-8.8188"
"Shackelford County","3283","-2.9560"
"Donley County","3204","-14.1939"
"Lipscomb County","3015","-8.1633"
"Cochran County","2897","-7.9441"
"Collingsworth County","2876","-5.8284"
"Sherman County","2864","-5.3223"
"Hall County","2842","-15.3915"
"Concho County","2812","-31.4481"
"Schleicher County","2619","-25.2355"
"Jeff Davis County","2336","-0.3413"
"Dickens County","2197","-10.2166"
"Menard County","2174","-2.5112"
"Culberson County","2125","-11.5689"
"Oldham County","2100","2.4390"
"Edwards County","1980","-0.9505"
"Armstrong County","1903","0.0526"
"Briscoe County","1614","-1.1635"
"Irion County","1576","-1.9291"
"Throckmorton County","1495","-8.7858"
"Glasscock County","1445","17.2890"
"Cottle County","1430","-5.4233"
"Stonewall County","1346","-10.0267"
"Sterling County","1265","11.2577"
"Motley County","1136","-5.7261"
"Foard County","1083","-19.4196"
"Kent County","834","2.7094"
"McMullen County","767","7.8762"
"Roberts County","766","-17.0996"
"Terrell County","708","-29.9703"
"Borden County","668","3.4056"
"Kenedy County","338","-18.9448"
"King County","264","-8.3333"
"Loving County","211","151.1905"
